MaxN

Generated: Wednesday, July 06, 2016 10:16:38

Filename	Frame	Time (mins)	Period	Period time (mins)	OpCode	Tape Reader	Depth	Comment									Family	Genus	Species	Code	MaxN	Has fed
MNCB272_L511.avi	   8347	   4.6419			MNCB272	Molly											Acanthuridae	Acanthurus	dussumieri	37437008	2	No
MNCB272_L511.avi	   8347	   4.6419			MNCB272	Molly											Acanthuridae	Acanthurus	grammoptilus	37437002	2	No
MNCB272_L511.avi	   8092	   4.5001			MNCB272	Molly											Acanthuridae	Acanthurus	triostegus	37437019	1	No
MNCB272_L511.avi	  14442	   8.0314			MNCB272	Molly											Acanthuridae	Ctenochaetus	striatus	37437022	1	No
MNCB272_L511.avi	  82068	  45.6390			MNCB272	Molly											Acanthuridae	Naso	annulatus	37437024	1	No
MNCB272_L511.avi	  45566	  25.3398			MNCB272	Molly											Acanthuridae	Naso	brevirostris	37437026	2	No
MNCB272_L511.avi	  41426	  23.0375			MNCB272	Molly											Balistidae	Sufflamen	chrysopterum	37465079	1	No
MNCB272_L511.avi	   8483	   4.7175			MNCB272	Molly											Caesionidae	Caesio	cuning	37346018	4	No
MNCB272_L511.avi	  73589	  40.9237			MNCB272	Molly											Carangidae	Carangoides	fulvoguttatus	37337037	1	No
MNCB272_L511.avi	  59755	  33.2305			MNCB272	Molly											Carangidae	Carangoides	orthogrammus	37337057	3	No
MNCB272_L511.avi	  27629	  15.3648			MNCB272	Molly											Carangidae	Gnathanodon	speciosus	37337012	10	No
MNCB272_L511.avi	  21496	  11.9542			MNCB272	Molly											Chaetodontidae	Chaetodon	lunula	37365042	2	No
MNCB272_L511.avi	  20074	  11.1634			MNCB272	Molly											Labridae	Choerodon	cauteroma	37384005	1	No
MNCB272_L511.avi	 109944	  61.1411			MNCB272	Molly											Labridae	Choerodon	cyanodus	37384072	2	No
MNCB272_L511.avi	  19353	  10.7624			MNCB272	Molly											Labridae	Choerodon	schoenleinii	37384010	1	No
MNCB272_L511.avi	  78130	  43.4490			MNCB272	Molly											Labridae	Coris	aygula	37384090	1	No
MNCB272_L511.avi	  25834	  14.3666			MNCB272	Molly											Labridae	Halichoeres	melanochir	37384115	1	No
MNCB272_L511.avi	  73665	  40.9660			MNCB272	Molly											Labridae	Hologymnosus	annulatus	37384126	1	No
MNCB272_L511.avi	  56669	  31.5143			MNCB272	Molly											Labridae	Thalassoma	lunare	37384167	9	No
MNCB272_L511.avi	  77150	  42.9040			MNCB272	Molly											Labridae	Thalassoma	lutescens	37384168	2	No
MNCB272_L511.avi	  77258	  42.9641			MNCB272	Molly											Lethrinidae	Lethrinus	atkinsoni	37351013	7	Yes
MNCB272_L511.avi	  78920	  43.8883			MNCB272	Molly											Lethrinidae	Lethrinus	nebulosus	37351008	5	No
MNCB272_L511.avi	  74799	  41.5966			MNCB272	Molly											Lutjanidae	Lutjanus	carponotatus	37346011	2	No
MNCB272_L511.avi	  19123	  10.6345			MNCB272	Molly											Lutjanidae	Lutjanus	fulviflamma	37346034	1	No
MNCB272_L511.avi	  74593	  41.4820			MNCB272	Molly											Lutjanidae	Lutjanus	lemniscatus	37346010	1	Yes
MNCB272_L511.avi	   8017	   4.4583			MNCB272	Molly											Mullidae	Parupeneus	barberinoides	37355021	6	No
MNCB272_L511.avi	  55268	  30.7352			MNCB272	Molly											Mullidae	Parupeneus	cyclostomus	37355025	2	No
MNCB272_L511.avi	  74864	  41.6327			MNCB272	Molly											Mullidae	Parupeneus	indicus	37355005	1	No
MNCB272_L511.avi	  89538	  49.7931			MNCB272	Molly											Nemipteridae	Pentapodus	emeryii	37347027	2	No
MNCB272_L511.avi	  82815	  46.0544			MNCB272	Molly											Pomacentridae	Abudefduf	bengalensis	37372003	8	Yes
MNCB272_L511.avi	  98961	  55.0334			MNCB272	Molly											Pomacentridae	Abudefduf	sexfasciatus	37372011	28	No
MNCB272_L511.avi	  30568	  16.9992			MNCB272	Molly											Pomacentridae	Neopomacentrus	filamentosus	37372090	1	No
MNCB272_L511.avi	  40080	  22.2890			MNCB272	Molly											Pomacentridae	Pomacentrus	coelestis	37372111	2	No
MNCB272_L511.avi	  21973	  12.2194			MNCB272	Molly											Pomacentridae	Pomacentrus	nagasakiensis	37372119	3	No
