3D Point and Length Measurements

Generated: Wednesday, July 06, 2016 10:16:38

Filename	Frame	Time (mins)	Period	Period time (mins)	Length (mm)	Precision (mm)	RMS (mm)	Range (mm)	Direction (deg)	Horz. Dir. (deg)	Vert. Dir. (deg)	Mid X (mm)	Mid Y (mm)	Mid Z (mm)	OpCode	Tape Reader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
MNCB272_L511.avi	   6678	   3.7137				0.913	0.510	1007.636	25.066			-355.930	-227.339	-914.856	MNCB272	Molly											Pomacentridae	Stegastes	fasciolatus	37372132	1	AD	Passing			
MNCB272_L511.avi	   6963	   3.8722			84.071	1.330	1.300	1156.616	25.688	11.051	24.417	457.622	-204.811	-1042.303	MNCB272	Molly											Pomacentridae	Stegastes	fasciolatus	37372132	1	AD	Passing			
MNCB272_L511.avi	   7122	   3.9606			165.131	4.720	0.208	2894.762	8.849	10.695	24.790	-443.770	37.201	-2860.302	MNCB272	Molly											Scaridae	Scarus	prasiognathos	37386023	1	AD	Passing			
MNCB272_L511.avi	   7125	   3.9623			165.395	4.073	4.351	2792.612	8.704	8.716	21.912	-420.733	39.734	-2760.450	MNCB272	Molly											Scaridae	Scarus	frenatus	37386016	1	AD	Passing			
MNCB272_L511.avi	   7245	   4.0290			261.589	11.195	5.932	3133.731	16.549	24.107	0.311	-884.878	117.025	-3003.926	MNCB272	Molly											Scaridae	Scarus	frenatus	37386016	1	AD	Passing			
MNCB272_L511.avi	   7255	   4.0346			269.137	7.696	6.028	3397.885	15.901	4.487	5.475	-886.921	282.847	-3267.872	MNCB272	Molly											Scaridae	Scarus	frenatus	37386016	1	AD	Passing			
MNCB272_L511.avi	   7912	   4.4000			139.763	13.757	2.904	3265.718	21.581	29.002	10.007	-1199.330	-66.950	-3036.781	MNCB272	Molly											Mullidae	Parupeneus	barberinoides	37355021	1	AD	Passing			
MNCB272_L511.avi	   7937	   4.4139			140.534	11.002	1.793	3249.245	27.204	7.938	8.700	-1485.133	-30.474	-2889.818	MNCB272	Molly											Mullidae	Parupeneus	barberinoides	37355021	1	AD	Passing			
MNCB272_L511.avi	   7967	   4.4305			192.338	4.824	1.515	3172.112	8.436	6.455	7.810	-460.893	-64.338	-3137.792	MNCB272	Molly											Mullidae	Parupeneus	barberinoides	37355021	1	AD	Passing			
MNCB272_L511.avi	   7982	   4.4389				5.569	0.842	2823.057	4.971			238.412	80.428	-2811.821	MNCB272	Molly											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing			
MNCB272_L511.avi	   8007	   4.4528			203.264	3.122	1.913	3075.151	6.714	4.384	12.178	229.665	276.578	-3054.065	MNCB272	Molly											Scaridae	Scarus	rivulatus	37386027	1	AD	Passing			
MNCB272_L511.avi	   8027	   4.4639			124.041	12.361	0.881	3205.914	28.626	20.464	0.531	-1533.830	-80.135	-2814.042	MNCB272	Molly											Mullidae	Parupeneus	barberinoides	37355021	1	AD	Passing			
MNCB272_L511.avi	   8067	   4.4862				5.753	1.193	2860.135	6.618			-314.057	-74.208	-2841.871	MNCB272	Molly											Mullidae	Parupeneus	barberinoides	37355021	1	AD	Passing			
MNCB272_L511.avi	   8137	   4.5251				4.058	0.480	2287.327	15.835			-608.316	-119.525	-2201.710	MNCB272	Molly											Mullidae	Parupeneus	barberinoides	37355021	1	AD	Passing			
MNCB272_L511.avi	   8282	   4.6057				4.563	5.059	2489.818	9.623			-368.614	-170.830	-2456.447	MNCB272	Molly											Acanthuridae	Acanthurus	grammoptilus	37437002	1	AD	Passing			
